organ,file,class,dx,dy,mode,dice,hd
Pancreas,6_Pancreas_17_23_0.npz,2,10,10,box,0.04358201040665135,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,10,10,both,0.04426126025769324,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,-10,-10,point,0.044666463396804565,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,-10,-10,box,0.0375530329090593,351.5480052567501
Pancreas,6_Pancreas_17_23_0.npz,2,-10,-10,both,0.04167930885804416,349.6870029040256
Pancreas,6_Pancreas_18_51_0.npz,2,0,0,point,0.015639895138224554,364.07142156450567
Pancreas,6_Pancreas_18_51_0.npz,2,0,0,box,0.015161459700707189,361.6241142401872
Pancreas,6_Pancreas_18_51_0.npz,2,0,0,both,0.015744959203110462,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,5,0,point,0.015493165321836384,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,5,0,box,0.014480662654190084,362.0842443410097
Pancreas,6_Pancreas_18_51_0.npz,2,5,0,both,0.014998636487589116,364.81913327017264
Pancreas,6_Pancreas_18_51_0.npz,2,-5,0,point,0.015614105817344575,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,-5,0,box,0.01589992345872566,364.90683742566404
Pancreas,6_Pancreas_18_51_0.npz,2,-5,0,both,0.01555167645258464,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,0,5,point,0.015041910667121645,364.07142156450567
Pancreas,6_Pancreas_18_51_0.npz,2,0,5,box,0.015453928486740248,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,0,5,both,0.015623316452967493,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,0,-5,point,0.015811464814980625,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,0,-5,box,0.0153353326063241,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,0,-5,both,0.014133643438583891,364.07142156450567
Pancreas,6_Pancreas_18_51_0.npz,2,10,10,point,0.015118934137310169,363.3249234500711
Pancreas,6_Pancreas_18_51_0.npz,2,10,10,box,0.01550936617911134,362.93250061133955
Pancreas,6_Pancreas_18_51_0.npz,2,10,10,both,0.015258392115661707,363.5890537406207
Pancreas,6_Pancreas_18_51_0.npz,2,-10,-10,point,0.015638991537285672,362.6596200295809
Pancreas,6_Pancreas_18_51_0.npz,2,-10,-10,box,0.015377636652300367,365.5680511204446
Pancreas,6_Pancreas_18_51_0.npz,2,-10,-10,both,0.01538530805991938,365.5680511204446
Pancreas,6_Pancreas_18_55_0.npz,2,0,0,point,0.017514917318628472,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,0,0,box,0.017520341677835883,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,0,0,both,0.01780363682483173,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,5,0,point,0.017682258095547913,387.806652856807
Pancreas,6_Pancreas_18_55_0.npz,2,5,0,box,0.018022936026433997,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,5,0,both,0.017869883628430342,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,-5,0,point,0.017565998687595584,389.27882038456704
Pancreas,6_Pancreas_18_55_0.npz,2,-5,0,box,0.01711406205431859,389.27882038456704
Pancreas,6_Pancreas_18_55_0.npz,2,-5,0,both,0.017523870291454833,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,0,5,point,0.017892801607516565,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,0,5,box,0.017707694438397235,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,0,5,both,0.017323973955376628,386.58763560155415
Pancreas,6_Pancreas_18_55_0.npz,2,0,-5,point,0.017014587234432114,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,0,-5,box,0.01783102664738543,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,0,-5,both,0.017775756985264332,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,10,10,point,0.01779926385760426,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,10,10,box,0.0,389.16577444580093
Pancreas,6_Pancreas_18_55_0.npz,2,10,10,both,0.017421530694583454,389.95512562344913
Pancreas,6_Pancreas_18_55_0.npz,2,-10,-10,point,0.017390615405944363,390.6328199217265
Pancreas,6_Pancreas_18_55_0.npz,2,-10,-10,box,0.017984699095854928,389.95512562344913
Pancreas,6_Pancreas_18_55_0.npz,2,-10,-10,both,0.017772278311906343,390.6328199217265
Pancreas,6_Pancreas_18_56_0.npz,2,0,0,point,0.01699898335821355,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,0,0,box,0.0,289.2766841624122
Pancreas,6_Pancreas_18_56_0.npz,2,0,0,both,0.017663850859305698,392.587569849072
Pancreas,6_Pancreas_18_56_0.npz,2,5,0,point,0.017388420116290465,393.2429274634192
Pancreas,6_Pancreas_18_56_0.npz,2,5,0,box,0.016713487299286352,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,5,0,both,0.01731402301498015,392.587569849072
Pancreas,6_Pancreas_18_56_0.npz,2,-5,0,point,0.017409440175630217,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,-5,0,box,0.017455713249766157,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,-5,0,both,0.017591952935584868,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,0,5,point,0.017291066282419686,391.8009698813927
Pancreas,6_Pancreas_18_56_0.npz,2,0,5,box,0.014183429935210238,388.25378298221386
Pancreas,6_Pancreas_18_56_0.npz,2,0,5,both,0.017534588536082422,392.587569849072
Pancreas,6_Pancreas_18_56_0.npz,2,0,-5,point,0.01692451794192421,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,0,-5,box,0.01712169791970106,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,0,-5,both,0.01764104723431988,393.2429274634192
Pancreas,6_Pancreas_18_56_0.npz,2,10,10,point,0.0167873339167727,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,10,10,box,0.01753941878220112,393.96573455060786
Pancreas,6_Pancreas_18_56_0.npz,2,10,10,both,0.017491877842752763,391.9004975755964
Pancreas,6_Pancreas_18_56_0.npz,2,-10,-10,point,0.016997452058465704,392.5213369996592
Pancreas,6_Pancreas_18_56_0.npz,2,-10,-10,box,0.017270663682396204,393.2429274634192
Pancreas,6_Pancreas_18_56_0.npz,2,-10,-10,both,0.017586725749229194,393.96573455060786
Pancreas,6_Pancreas_18_57_0.npz,2,0,0,point,0.01664570600062348,394.4946133979525
Pancreas,6_Pancreas_18_57_0.npz,2,0,0,box,0.015621829985794375,393.2047812527208
Pancreas,6_Pancreas_18_57_0.npz,2,0,0,both,0.016883108112669968,393.2047812527208
